ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
30105325,Mangochi,5,100,14may2010,14,5,2010,109,05jul2010,5,7,2010,YES,NO,YES,YES,YES,YES,BURNT BRICKS,GRASS
30105448,Mangochi,5,100,03sep2010,3,9,2010,109,09sep2010,9,9,2010,NO,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
30107624,Mangochi,7,150,14nov2010,14,11,2010,109,18nov2010,18,11,2010,NO,NO,YES,NO,NO,NO,MUD BRICK (UNFIRED),GRASS
30108401,Mangochi,8,100,23mar2010,23,3,2010,109,05jul2010,5,7,2010,NO,NO,NO,YES,NO,YES,MUD BRICK (UNFIRED),GRASS
30109724,Mangochi,9,100,22jul2010,22,7,2010,109,29jul2010,29,7,2010,NO,NO,YES,NO,YES,YES,MUD BRICK (UNFIRED),GRASS
30202252,Machinga,2,100,05jun2010,5,6,2010,109,31aug2010,31,8,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,GRASS
30206341,Machinga,6,100,22aug2010,22,8,2010,109,31aug2010,31,8,2010,YES,NO,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
30206572,Machinga,6,100,19may2010,19,5,2010,109,05jul2010,5,7,2010,NO,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),GRASS
30208396,Machinga,8,150,13nov2010,13,11,2010,109,16nov2010,16,11,2010,NO,NO,YES,NO,NO,NO,MUD BRICK (UNFIRED),GRASS
30212307,Machinga,12,100,17may2010,17,5,2010,109,31aug2010,31,8,2010,YES,NO,YES,YES,YES,YES,BURNT BRICKS,GRASS
30212492,Machinga,12,100,03aug2010,3,8,2010,109,08sep2010,8,9,2010,YES,NO,YES,YES,NO,NO,MUD BRICK (UNFIRED),GRASS
30302601,Zomba,2,110,01jun2010,1,6,2010,119,23jun2010,23,6,2010,YES,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
30305082,Zomba,5,110,15sep2010,15,9,2010,119,01oct2010,1,10,2010,NO,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),GRASS
30305277,Zomba,5,110,30mar2010,30,3,2010,119,14jun2010,14,6,2010,YES,NO,YES,NO,YES,YES,BURNT BRICKS,IRON SHEETS
30305580,Zomba,5,110,01may2010,1,5,2010,119,29jun2010,29,6,2010,YES,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
30306087,Zomba,6,110,30jun2010,30,6,2010,119,05jul2010,5,7,2010,YES,NO,YES,NO,YES,YES,BURNT BRICKS,GRASS
30306555,Zomba,6,110,05oct2010,5,10,2010,119,02nov2010,2,11,2010,NO,NO,YES,NO,YES,YES,BURNT BRICKS,GRASS
30307678,Zomba,7,110,30jul2010,30,7,2010,119,21aug2010,21,8,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
30403444,Chiradzulu,3,120,01may2010,1,5,2010,129,27may2010,27,5,2010,YES,YES,YES,YES,NO,YES,MUD BRICK (UNFIRED),GRASS
30406710,Chiradzulu,6,120,05apr2010,5,4,2010,129,27may2010,27,5,2010,NO,NO,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
30501383,Blanytyre,1,120,27aug2010,27,8,2010,129,08sep2010,8,9,2010,NO,NO,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
30502456,Blanytyre,2,120,30may2010,30,5,2010,129,01jul2010,1,7,2010,NO,NO,YES,NO,NO,NO,MUD BRICK (UNFIRED),GRASS
30503685,Blanytyre,3,120,16sep2010,16,9,2010,129,04oct2010,4,10,2010,YES,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
30504518,Blanytyre,4,120,30may2010,30,5,2010,129,03aug2010,3,8,2010,NO,NO,YES,YES,NO,NO,BURNT BRICKS,GRASS
30602235,Mwanza,2,150,03aug2010,3,8,2010,159,22sep2010,22,9,2010,YES,NO,YES,YES,NO,YES,MUD BRICK (UNFIRED),GRASS
30620196,Mwanza,20,150,12may2010,12,5,2010,159,23oct2010,23,10,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
30703381,Thyolo,3,130,28apr2010,28,4,2010,139,31aug2010,31,8,2010,NO,NO,NO,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
30704313,Thyolo,4,130,03sep2010,3,9,2010,139,10sep2010,10,9,2010,NO,NO,NO,NO,NO,NO,MUD BRICK (UNFIRED),GRASS
30705391,Thyolo,5,130,26may2010,26,5,2010,139,31aug2010,31,8,2010,NO,NO,NO,NO,NO,YES,MUD BRICK (UNFIRED),OTHER
30706619,Thyolo,6,130,19sep2010,19,9,2010,139,21sep2010,21,9,2010,NO,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
30708665,Thyolo,8,130,16apr2010,16,4,2010,139,07oct2010,7,10,2010,YES,NO,NO,NO,NO,YES,BURNT BRICKS,IRON SHEETS
30709438,Thyolo,9,130,07may2010,7,5,2010,139,16nov2010,16,11,2010,NO,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
30710079,Thyolo,10,130,20sep2010,20,9,2010,139,04dec2010,4,12,2010,YES,YES,YES,NO,NO,NO,BURNT BRICKS,IRON SHEETS
30711684,Thyolo,11,130,02apr2010,2,4,2010,139,29aug2010,29,8,2010,NO,NO,NO,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
30801672,Mulanje,1,140,01jun2010,1,6,2010,149,25jun2010,25,6,2010,NO,NO,YES,NO,NO,YES,BURNT BRICKS,GRASS
30801679,Mulanje,1,140,14aug2010,14,8,2010,149,06oct2010,6,10,2010,YES,NO,YES,NO,YES,YES,BURNT BRICKS,GRASS
30803115,Mulanje,3,140,21jul2010,21,7,2010,149,06oct2010,6,10,2010,NO,NO,YES,YES,NO,YES,MUD BRICK (UNFIRED),GRASS
