case_id,hhid,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m,Fish_SpeciesID
302225660326,74bc7010bacb4017a8aae5c7777b0798,mlamba,,84,DOZEN / BUNDLE,,fresh,.,3000,no,,,.,,.,,84,DOZEN / BUNDLE,,fresh,.,4000,no,,,,,.,,
302225660326,74bc7010bacb4017a8aae5c7777b0798,,,84,DOZEN / BUNDLE,,fresh,,3000,no,,,,,,,84,DOZEN / BUNDLE,,fresh,,4000,no,,,,,,,3
302225660326,74bc7010bacb4017a8aae5c7777b0798,,,95,DOZEN / BUNDLE,,fresh,,2500,no,,,,,,,95,DOZEN / BUNDLE,,fresh,,3000,no,,,,,,,6
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,chambo,,15,DOZEN / BUNDLE,,fresh,,3000,no,,,,,,,15,DOZEN / BUNDLE,,OTHER (SPECIFY),FRIED (NOT KANYENYA ),4500,no,,,,,,,
303015680066,8e25d3aa0ee24f1d99fca279f1f2521e,mlamba,,30,OTHER (SPECIFY),"""CHIGOBA """,fresh,,2000,no,,,,,,,2,OTHER (SPECIFY),LARGE BOX,OTHER (SPECIFY),FRIED(not kanyenya),90000,no,,,,,,,
303015690120,922113266ae24517a43844caa8a37750,matemba,,3,OTHER (SPECIFY),"""CHIGOBA """,SUN-DRIED,.,2500,yes,2,OTHER (SPECIFY),"""CHIGOBA """,smoked,.,3500,3,OTHER (SPECIFY),"""CHIGOBA """,SUN-DRIED,.,4000,yes,2,,,smoked,.,5000,
303025700103,0eb287db17c24a99999f8988247a7abd,chambo,,15,OTHER (SPECIFY),CHIGOBA,fresh,,5000,no,,,,,,,15,OTHER (SPECIFY),CHIGOBA,fresh,,6500,no,,,,,,,
303025730018,cceb5c77d3e84c32986566ca1771284d,matemba,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
303025730018,cceb5c77d3e84c32986566ca1771284d,chambo,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
303025730018,cceb5c77d3e84c32986566ca1771284d,makumba,,60000,LARGE BASKET,,fresh,.,6000,no,,,.,,.,,30,LARGE BASKET,,fresh,,5000,no,,,,,.,,
303025730018,cceb5c77d3e84c32986566ca1771284d,mlamba,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
303025730244,91391097bfac4a869bf7a04812e387af,matemba,,2,OTHER (SPECIFY),"""MEDIUM BASIN """,fresh,.,2000,no,,,.,,.,,2,OTHER (SPECIFY),"""MEDIUM BASIN """,SUN-DRIED,,3500,no,,,,,.,,
303025730318,31fda59924d7462799196c02098345af,chambo,,0,,,,.,,no,,,.,,.,,2,LARGE BASKET,,fresh,,5000,no,,,,,.,,
303025730318,31fda59924d7462799196c02098345af,mlamba,,0,,,,.,,no,,,.,,.,,32000,LARGE BASKET,,fresh,,8000,no,,,,,.,,
303025730354,c88d0feb34de41e7b29b020fac7d45c2,mlamba,,0,,,,.,,no,,,.,,.,,10,LARGE BASKET,,SUN-DRIED,,5000,no,,,,,.,,
303025730354,c88d0feb34de41e7b29b020fac7d45c2,chambo,,0,,,,.,,no,,,.,,.,,10,LARGE BASKET,,fresh,,6500,no,,,,,.,,
303025730354,c88d0feb34de41e7b29b020fac7d45c2,matemba,,0,,,,.,,no,,,.,,.,,7,LARGE BASKET,,SUN-DRIED,,2500,no,,,,,.,,
303055780289,1be1a225a48d412ba1cab999e4834d5d,other,KAMBUZI,5,OTHER (SPECIFY),CHIGOBA,SUN-DRIED,,2500,yes,3,OTHER (SPECIFY),CHIGOBA,smoked,,3000,5,OTHER (SPECIFY),CHIGOBA,SUN-DRIED,,3500,yes,3,,,smoked,,4700,
303055800023,4dd8a0e807d04c03a2bf1155f21b36bb,matemba,,3,OTHER (SPECIFY),"""CHIGOBA """,SUN-DRIED,,2000,no,,,,,,,3,OTHER (SPECIFY),CHIGOBA,SUN-DRIED,,3500,no,,,,,,,
303055800023,4dd8a0e807d04c03a2bf1155f21b36bb,usipa,,2,OTHER (SPECIFY),CHIGOBA,SUN-DRIED,,2500,no,,,,,,,2,OTHER (SPECIFY),CHIGOBA,SUN-DRIED,,4500,no,,,,,,,
