case_id,hhid,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
102011240101,5dcbbbedd30b41968b25c302d8b9d2b8,0,0,0,0,0
102011240108,9f46b5498b00459f80c79bc67917a72a,0,0,0,0,0
102011240116,538420ff67584a0584a737a06fe17df8,0,0,0,0,0
102011250014,dc16a812db7e47ce92b4d6855d903379,0,10000,1000,1000,0
102011250028,5fb15c46222c4221b9fbb4fd50076129,0,0,0,0,0
102011250042,325b0424c2f940f6a3a871ef4e5025c1,0,500,0,0,0
102011250071,74be87fb7ce94f31a1ab7b16744afb1b,0,0,0,0,0
102011250085,f60f66c0e50f4e829909a6eac3408dff,0,0,0,0,0
102011250099,dd4471d372d146b1ab10037c91688e9d,0,0,0,1000,0
102011250128,d25dab14683c4f8c97b1bbef3502793d,0,4000,0,0,0
102011250185,e48d208a1f1a474db3573cf6c8264a88,0,0,0,0,0
102011250214,cd6f3350284c4ddabc64506a4f9aa29c,0,0,0,0,0
102011250242,6e0e9fc7b19841d08358c834b7da0c6f,0,0,0,0,0
102011250256,9dc6a9e74ed447b696a95b2838132606,0,0,0,0,0
102011250270,47401c3a6a2a4ed3a649ce330e6e7505,0,5000,0,0,0
102011250298,ec6f51c5915848149791752e6043c8cc,0,0,0,0,0
102011260004,f7261e96f3644f8c91f1ecbc8f37fb83,0,0,0,0,0
102011260011,7f2c3adcbebb4631abfe9b4006f6728c,0,0,0,0,0
102011260018,87807b7ad86349a0b566f036611c1c07,0,0,0,0,0
102011260025,9f56ad7ab84d4d7d94a0fd67b65e7b02,0,0,0,0,0
102011260032,0f76eaa0c8be4c9993fe3df72f4dc833,0,0,3000,0,0
102011260039,eed95b4268fe49a7b374a21a5efc33aa,0,0,2300,0,0
102011260047,2fafdea777e544eba3167f95c7d37735,0,0,1200,0,0
102011260054,4f54693427c641539e0122e2c47e7dc2,0,0,0,0,0
102011260061,7c5b3964bdbd4e5ea7fe1ccbfc5eeeb3,0,0,0,0,0
102011260068,01ea6f66c1fe4e2b9dcdb71fa4ee4cc9,0,0,0,0,0
102011260075,ef663e2bf58a4855b58a3bc7150ca062,0,0,0,0,0
102011260083,4dd6284ed34a4234af38109d4250170d,0,0,0,0,0
102011260097,2c3059aaff4942e5912547375088fa0e,0,0,0,0,0
102011260104,939f3470c3914e119c3d3da50d33da2a,0,0,0,0,8
102011260111,a5e0f142cf2f48ee9a009c87f4a3a4fe,0,2500,0,0,0
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,0,0,0,0,0
102011270116,1cbd63923b7c4aab989061c02919aeaf,0,0,0,0,0
102011270130,74afc3c104a84405a2e11cdd6f5b79b0,0,0,0,0,0
102011270144,168174488194496b9192e421b68da446,0,0,0,0,0
102011270158,4a3bfee51ccc45b4ba499a48c86f4ce2,0,0,0,0,0
102011270175,adba0ab4befe45dbb5509cd482e7d275,0,0,0,0,0
102011270188,6321ac798ed442caab712fb49fe4dab8,0,9000,0,0,0
102011270202,e11b845a67254c8988aed5af77c80cbe,0,2500,0,0,0
102011270244,ba6b368d5a3e456886afcfa134dceb5d,0,0,0,0,1000
102011270300,5431186b11c04e3cbdc95c548cc3bdf5,0,0,0,0,0
102011280021,e9ed99054cfc4ca5b0549b99a0464b0d,0,0,0,0,0
102011280049,d4a76e795b87443c8b2dd51056393e32,0,0,0,0,0
102011280077,c2e1ba6facd9421d8909175e64b234d0,0,2000,0,0,0
102011280133,4d6a8fa344f940379a623b3bca909bdf,0,6800,500,0,0
