case_id,hhid,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
106202300082,4dba48e4d4fc48b1bac49b4cb0c91068,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106202300089,2f8971e7fbff406191acd839d916be01,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106202300095,28d4dd17ff594965b48ecc37a062b995,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106202300141,a292ea9b618a4cc3bd7ad0ce0ebc822d,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
107322320200,8ac2991da71f46e1b385efaf513c6fb6,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
107322320477,980d7b184cf64f309424902803c75953,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
107322330277,3b9aff7d8c404323a58199ee00fcd049,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
107332340503,d5be36c2998a48a68ac4c1ba6410543e,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
107332340910,358e06d5b8524baa882ce3d0c260cbd9,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
107332350195,dcc4ea28b5914baf9cb6086657e26b7d,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
