case_id,hhid,ag_e27a,ag_e27b,ag_e27c,ag_e27d,ag_e27e,ag_e27f,ag_e27g,ag_e27h,ag_e28,ag_e29a,ag_e29b,ag_e29c,ag_e29d,ag_e29e,ag_e29f,ag_e29g,ag_e29h,ag_e29i,ag_e29j,ag_e29k,ag_e29l
101011010093,665bc90643f046e4a9574fb8f69096a9,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
101011010102,d43d0e3e75774a6c99239cf5679efd17,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011010110,ca1dc73c3b224454874d2535455cd0dc,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011010118,4276b62241204cb0b265cf2240b7f573,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011010126,b2856f2dc800493dacc8fea33a1ca304,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020032,7efe8aed09d34ed281a3589e70a288f1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020045,1cbe9c472ed746a9b8ce264705636140,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020067,401dabded77840c9add12c88d52ae841,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020077,276bc07604c94755a89011471cea0640,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020112,2f251fa85857436b8bc97011ef49b193,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes
101011020122,b4d30795984f4926b4ae8d785caea106,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no
101011020146,5ab09f2e137f497e9d3f4918db6e2457,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020157,81b7adc57d8f433bb500d588db7013fd,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020168,4d61a019440549c59a61dcd5e240221d,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
101011020200,bd062ea22aa446f79088768b5aeb42c9,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
