case_id,hhid,ea_id,region,district,reside,interviewDate,hh_wgt,hh_a02a,hh_a03,hh_a06,hh_a11,hh_a13,hh_a22,hh_a23,hh_g09,hh_m00,hh_o0a,hh_s01,hh_w01
103041560034,70d19ee402b34042b99b8383f38075c4,10304156,North,Nkhatabay,rural,2016-07-11,200.82001,4,156,0034,no,,20,7,no,yes,yes,no,no
205053620111,70da67132a2a49479bd7e53378ecf5e3,20505362,Central,Salima,rural,2017-03-27,122.5632,5,362,0111,no,,600,25,no,yes,yes,no,no
201102660261,70dfc93f28384beba7df2af457133d7e,20110266,Central,Kasungu,rural,2017-03-23,403.20871,10,266,0261,no,,40,16,no,yes,yes,yes,no
311067720273,70dff86abc944d74bc3ae3486c9c2c64,31106772,Southern,Nsanje,rural,2017-02-03,200.98489,6,772,0273,no,,800,90,yes,yes,no,no,no
315468700436,70e241e726b1496cac7b251ae29b2507,31546870,Southern,Blantyre City,urban,2017-01-20,328.13641,46,870,0436,no,,500,62,no,yes,no,yes,no
206144050064,70e3347b9cd848cda684b10b9a5fe6d8,20614405,Central,Lilongwe,rural,2016-05-31,486.37589,14,405,0064,no,,70,32,yes,yes,no,no,no
308047000220,70e3e722fbb14328b0585ea9b5ce8fec,30804700,Southern,Mulanje,rural,2016-05-16,370.3288,4,700,0220,no,,600,69,no,yes,yes,yes,no
210795060131,70eb6b51876f4937acbde7b1c1ab1fd8,21079506,Central,Lilongwe City,urban,2017-02-24,395.01501,79,506,0131,no,,80,82,no,yes,no,no,no
308026950023,70f03509b6cf490f91c7704a997d03ea,30802695,Southern,Mulanje,rural,2017-04-11,360.19641,2,695,0023,no,,70,69,no,yes,no,yes,no
305036230184,70f4ef37d1ae4cf7990bedb1878b32ba,30503623,Southern,Blantyre,rural,2016-10-19,207.1586,3,623,0184,no,,500,62,no,yes,no,yes,no
305066300033,70f7ad0d37c746c79c6ce8c1ec7cc5af,30506630,Southern,Blantyre,rural,2017-01-23,217.5843,6,630,0033,no,,500,62,no,yes,no,no,no
103201700215,70fe04e5230445c9b8ae5fcadb9b3074,10320170,North,Nkhatabay,urban,2016-09-15,146.2119,20,170,0215,no,,20,13,no,yes,yes,yes,no
104011790250,71004158595644189265a296c9ec467c,10401179,North,Rumphi,rural,2016-06-18,158.92509,1,179,0250,no,,20,26,no,yes,yes,no,no
306016480420,7104357c2a6d4ce797100304a90813f2,30601648,Southern,Mwanza,rural,2017-02-25,67.610199,1,648,0420,no,,700,71,no,yes,no,no,no
206043900115,7107473eb6bf4d8b84be46545dafbf59,20604390,Central,Lilongwe,rural,2017-01-18,277.81241,4,390,0115,no,,80,82,no,yes,yes,no,no
308036970119,710d04ac6f7c41a6b78350e57ce0ec0b,30803697,Southern,Mulanje,rural,2017-03-07,300.31369,3,697,0119,no,,70,36,no,yes,yes,no,no
102031370041,71163bdd4a4647a19a140534558eaab0,10203137,North,Karonga,rural,2016-10-22,213.6171,3,137,0041,no,,10,2,no,yes,yes,no,no
303065870089,7118e66bb44c49d2aeafe228203e6eec,30306587,Southern,Zomba Non-City,rural,2016-12-20,129.6911,6,587,0089,no,,300,92,no,yes,no,yes,no
103121660054,71193384a59f486fad39bcf3ae73df4e,10312166,North,Nkhatabay,rural,2016-12-22,94.9189,12,166,0054,no,,20,7,no,yes,yes,no,no
305066280066,711dce17f3b24cbc8f09472be37e2ef1,30506628,Southern,Blantyre,rural,2017-03-27,237.4895,6,628,0066,no,,500,63,no,yes,no,no,no
311067740133,711e39e0b04c412bbd20c5c35a0447e1,31106774,Southern,Nsanje,rural,2017-04-07,194.1252,6,774,0133,no,,800,90,no,yes,yes,no,no
104011720095,71214b05093f4f2094179b953e17c902,10401172,North,Rumphi,rural,2017-01-25,91.540802,1,172,0095,no,,20,20,no,yes,no,yes,no
105062110128,7131c720a4bc4b43bea03c581ee7a2e1,10506211,North,Mzimba,rural,2016-10-17,172.20551,6,211,0128,no,,30,12,yes,yes,yes,no,no
307096790046,7132987201424052bdcc6d53a6466319,30709679,Southern,Thyolo,rural,2016-09-26,154.3596,9,679,0046,no,,500,64,no,yes,no,no,yes
205073660275,7135a9332c434844bc5d2ee5ab433185,20507366,Central,Salima,rural,2017-03-31,283.04169,7,366,0275,no,,600,77,no,yes,no,no,no
314388430340,713ce4d438e6439d8634d09441d58ea6,31438843,Southern,Zomba City,urban,2016-08-30,93.8069,38,843,0340,no,,300,54,no,yes,no,no,no
313018080019,714654c427ca4641a61a2bb149006f7a,31301808,Southern,Neno,rural,2017-03-29,37.885799,1,808,0019,no,,700,72,no,yes,no,no,no
301015200021,7151411b8d5e48678b7b949c8127a790,30101520,Southern,Mangochi,rural,2016-05-20,872.97009,1,520,0021,no,,100,47,yes,yes,yes,no,no
107382470023,715286d0c47d4ae1a51ee42414ecbe7f,10738247,North,Mzuzu City,urban,2016-10-03,67.6278,38,247,0023,no,,30,11,yes,yes,yes,no,no
310037450096,7153c2c65b0d45e8acce91b1a2318529,31003745,Southern,Chikwawa,rural,2017-03-03,321.59729,3,745,0096,no,,800,90,yes,yes,no,yes,no
210885170598,71555555ae1f4218a921733f45538fed,21088517,Central,Lilongwe City,urban,2016-07-04,777.19141,88,517,0598,no,,80,87,yes,yes,yes,no,no
209044670042,71573d6085c54f2ebf4b61ecdb142223,20904467,Central,Ntcheu,rural,2016-11-03,215.5896,4,467,0042,no,,90,42,no,yes,no,yes,no
