country,adm1,adm2,adm3,adm4,lat,lon,GPS_level,hhID,fieldID,plotID,crop,plot_area_measured_ha,plot_area_reported_ha,plot_area_reported_localUnit,localUnit_area,crop_area_share,planting_year,planting_month,harvest_year_begin,harvest_month_begin,harvest_year_end,harvest_month_end,harvest_year,harvest_month,dataset_name,dataset_doi
Malawi,southern,chiradzulu,,,-15.8888,35.282051,3,304045650172,rg01,r01,maize,0.0323748513788286,0.006,60.0,square meters,75.0,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,nkhata bay,,,-11.74423,33.938549,3,103011500032,rg01,r01,maize,0.4451542064588935,0.6070284633530365,1.5,acre,,2017.0,12.0,,6.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mangochi,,,-14.42367,35.599098,3,301064960287,rg01,r01,maize,0.0930776977141322,0.2023428211176788,0.5,acre,87.5,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.61694,35.668442,3,309056800209,rg01,r01,maize,0.1092651234035465,0.1214056926706073,0.3,acre,87.5,2018.0,12.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,dedza,,,-14.0359,34.332531,3,208044190142,rg01,r01,maize,0.0242811385341214,0.001,10.0,square meters,87.5,2018.0,11.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mangochi,,,-14.37511,35.027039,3,301014860050,rg01,r01,maize,0.5301381913283186,0.4046856422353577,1.0,acre,87.5,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.83502,35.5541,3,309016690284,rg01,r01,maize,0.0364217078011821,0.0015,15.0,square meters,87.5,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,machinga,,,-14.92564,35.6623,3,302065170243,rg01,r01,maize,0.0971245541364858,0.105218266981193,0.26,acre,87.5,2018.0,12.0,,3.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mwanza,,,-15.74056,34.399029,3,306036140112,rg01,r01,maize,0.1173588362482537,0.1011714105588394,0.25,acre,,2018.0,11.0,,4.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,lilongwe city,,,-14.02925,33.772289,3,210664660149,rg01,r01,maize,,0.4046856422353577,1.0,acre,87.5,2018.0,11.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,lilongwe,,,-13.64181,33.35062,3,206083670169,rg01,r01,maize,0.0121405692670607,0.1011714105588394,0.25,acre,50.0,2017.0,11.0,,2.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,zomba,,,-15.44637,35.465641,3,303025330387,rg01,r01,maize,0.0485622770682429,0.1011714105588394,0.25,acre,75.0,2017.0,12.0,,1.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,nkhotakota,,,-13.20976,34.216679,3,202062770013,rg01,r01,maize,0.0768902720247179,0.2023428211176788,0.5,acre,,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,blantyre city,,,-15.83674,35.036121,3,315538160015,rg01,r01,maize,0.0849839848694251,0.1011714105588394,0.25,acre,75.0,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,lilongwe,,,-14.10444,33.414371,3,206023550044,rg01,r01,maize,0.287326805987104,0.4046856422353577,1.0,acre,87.5,2017.0,12.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,kasungu,,,-13.07647,33.30619,3,201192500082,rg01,r01,maize,1.242384921662548,0.8093712844707154,2.0,acre,75.0,2018.0,11.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-15.95099,35.17588,3,307096320101,rg01,r01,maize,0.1133119798259001,0.1011714105588394,0.25,acre,87.5,2017.0,11.0,,2.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-15.78939,35.333771,3,308066600046,rg01,r01,maize,0.2185302468070931,0.1092651234035465,0.27,acre,,2017.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,nkhata bay,,,-11.77714,34.22736,3,103071590249,rg01,r01,maize,0.0687965591800108,0.2023428211176788,0.5,acre,,2017.0,12.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,dowa,,,-13.73932,34.156731,3,204043160020,rg01,r01,maize,0.028327994956475,0.1011714105588394,0.25,acre,87.5,2018.0,10.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.73868,35.727539,3,309066850328,rg01,r01,maize,0.0890308412917787,0.1011714105588394,0.25,acre,,2017.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,zomba,,,-15.3204,35.24765,3,303115520019,rg01,r01,maize,0.0202342821117678,0.003,30.0,square meters,87.5,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,nkhotakota,,,-13.14887,34.332199,3,202062740290,rg01,r01,maize,0.0607028463353036,0.1011714105588394,0.25,acre,,2017.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,chitipa,,,-9.5942202,33.36375,3,101021100229,rg01,r01,maize,0.8174649973154225,0.4046856422353577,1.0,acre,87.5,2017.0,12.0,,6.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,northern,chitipa,,,-10.23974,33.636909,3,101071180137,rg01,r01,maize,0.2023428211176788,0.2832799495647504,0.7,acre,,2017.0,12.0,,6.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,ntchisi,,,-13.38878,33.84671,3,203032900023,rg01,r01,maize,0.0080937128447071,0.1011714105588394,0.25,acre,,2017.0,12.0,,6.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
