hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,dataset_name,country,dataset_doi
H0360201,2,0.75,NA,9,2015,1,0.3035208417644678,acres,Groundnuts,12,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,4,1,100,4,2016,2,0.4046944556859571,acres,Beans,19,2015,19,2015,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,3,0.75,NA,8,2015,1,0.3035208417644678,acres,Maize,12,2014,13,2015,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,5,0.5,NA,8,2015,3,0.20234722784297854,acres,Sweet potatoes,11,2014,13,2015,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,1,1.5,70,NA,2001,1,0.6070416835289356,acres,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,6,0.5,100,4,2016,3,0.20234722784297854,acres,Maize,19,2015,19,2015,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,8,1,50,4,2016,3,0.4046944556859571,acres,Beans,7,2015,8,2015,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,1,1.5,70,NA,2001,1,0.6070416835289356,acres,Banana food,13,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,1,1.5,70,NA,2001,1,0.6070416835289356,acres,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,8,1,55,NA,2014,3,0.4046944556859571,acres,Cassava,8,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
