case_id,HHID,PID,fs_c00,fs_c00f,fs_c01a,fs_c01b,fs_c01c,fs_c00f1,fs_c02a,fs_c02b,fs_c02c,fs_c00f2,fs_c03a,fs_c03b,fs_c03c,fs_c00f3,fs_c04a,fs_c04b,fs_c04c
102041360205,9497ad3d50874b6e80a1ef28b6148e15,5,NO,,,,,,,,,,,,,,,,
102041360205,9497ad3d50874b6e80a1ef28b6148e15,3,NO,,,,,,,,,,,,,,,,
102041360205,9497ad3d50874b6e80a1ef28b6148e15,4,NO,,,,,,,,,,,,,,,,
102041360205,9497ad3d50874b6e80a1ef28b6148e15,1,NO,,,,,,,,,,,,,,,,
102041370048,5ce81c46158047c9ab84d9bb4d4afc7b,3,NO,,,,,,,,,,,,,,,,
102041370048,5ce81c46158047c9ab84d9bb4d4afc7b,1,YES,NO,,,,NO,,,,NO,,,,YES,10,4,9
102041370048,5ce81c46158047c9ab84d9bb4d4afc7b,2,NO,,,,,,,,,,,,,,,,
102041380207,0742aa43ddcb4f36a7289331d93a24ad,3,NO,,,,,,,,,,,,,,,,
102041380207,0742aa43ddcb4f36a7289331d93a24ad,1,NO,,,,,,,,,,,,,,,,
102041380207,0742aa43ddcb4f36a7289331d93a24ad,2,YES,NO,,,,NO,,,,NO,,,,YES,6,3,6
102041390006,899b06a1598e42308e88166a1b3b66d8,2,NO,,,,,,,,,,,,,,,,
102041390006,899b06a1598e42308e88166a1b3b66d8,3,NO,,,,,,,,,,,,,,,,
102041390006,899b06a1598e42308e88166a1b3b66d8,1,YES,YES,4,4,12,NO,,,,NO,,,,NO,,,
102041390006,899b06a1598e42308e88166a1b3b66d8,4,NO,,,,,,,,,,,,,,,,
102041400254,fb6b0358fdfa462cbe7059842f18055c,5,NO,,,,,,,,,,,,,,,,
102041400254,fb6b0358fdfa462cbe7059842f18055c,3,NO,,,,,,,,,,,,,,,,
102041400254,fb6b0358fdfa462cbe7059842f18055c,6,NO,,,,,,,,,,,,,,,,
102041400254,fb6b0358fdfa462cbe7059842f18055c,1,NO,,,,,,,,,,,,,,,,
102041400254,fb6b0358fdfa462cbe7059842f18055c,4,NO,,,,,,,,,,,,,,,,
102041400254,fb6b0358fdfa462cbe7059842f18055c,2,YES,NO,,,,NO,,,,NO,,,,YES,28,5,6
102051410106,17bceed3525a4ea59d90db5a75a7fa9d,1,NO,,,,,,,,,,,,,,,,
102051410106,17bceed3525a4ea59d90db5a75a7fa9d,2,YES,NO,,,,NO,,,,NO,,,,YES,12,2,6
102051410106,17bceed3525a4ea59d90db5a75a7fa9d,3,NO,,,,,,,,,,,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,5,NO,,,,,,,,,,,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,4,NO,,,,,,,,,,,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,8,NO,,,,,,,,,,,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,6,NO,,,,,,,,,,,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,7,NO,,,,,,,,,,,,,,,,
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,1,YES,YES,16,6,12,NO,,,,YES,16,7,8,YES,16,7,9
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,3,NO,,,,,,,,,,,,,,,,
