case_id,HHID,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
106012110360,8b8846595c544806a0848e62b383f1a3,3,12,0,0,YES,15000,0,NO,,,,,,,NO,,,0,0,NO,,,
106012110398,0eb1bca745c64cf0b7c6a3f44598e6de,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110432,bd8f8975d684493d8129ce8b7c1f8d5d,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120009,504b66d8aad24789be957a3d3ff3bd0c,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120030,05bf82dd81ff46bd8b6939b1198d3cc9,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120040,c6618cc94bad4c4f94f1bdea292492ad,0,4,0,4,NO,,,YES,5,KILOGRAM,,25,KILOGRAM,,NO,,,0,0,NO,,,
106012120044,0be0747c8c6b45ab805f47e59f7e7dcf,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120081,0bf40235b9c144faaab974ee944a4bd0,7,12,0,0,NO,,,NO,,,,,,,YES,25000,0,0,0,NO,,,
106012120084,be469e9fde1c474c9b49625ab62f3ccc,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120104,6be3950e67f949b3ba53e41510beb3f8,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120109,2917e87929b94298b46d4b00ff3d8368,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120152,aa136f9bff0e4b0f97b0689ac633ee3c,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120165,a330bee74902463c83da3a42a11eeb61,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120237,24f8736697264da0987209d6be9228f2,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012120242,9c7dca1046d247c6a16cc488615aa027,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
107392250104,9aae346102d540c28a8ba2beca80553b,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
107402300081,fc9c183b2b754a91b1984e5de92dbc44,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
201012370054,3498e3e819d442fb918936d1ceeedbf1,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
201012370067,f55ac8afe5ca4cc48b52bb7a62e639a3,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
201042400156,46a5daaf62c248da97fcc10129e832b6,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
201042400340,2939e73be2d142bc9c40bb14c40ec65f,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
201062420249,c129d18d85e045fca1289a32706eba8e,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
