"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01BQ00","AS01Q01","AS01Q03","AS02BQ04","AS02BQ05","AS02BQ06","AS02BQ07","AS02BQ08","AS02BQ09","AS02BQ10","AS02BQ11","AS02BQ12","AS02BQ13A","AS02BQ13B","AS02BQ14","AS02BQ15A","AS02BQ15B","PrimaryLast","PrimaryLast1"
1,22,10,0,2,1,2,1,"MELON",25,1,863,2,3,7,2,,,2,,,1,1
1,22,10,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,22,12,0,1,1,1,1,"OIGNON",33,1,6351,1,3,7,2,,,2,,,1,1
1,22,12,0,2,1,2,1,"MAIS",4,1,1613,2,3,8,2,,,2,,,1,1
1,22,12,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,22,12,0,4,1,4,1,"MOLOHIA",48,1,4125,1,3,8,2,,,2,,,1,1
1,22,14,0,1,1,1,1,"COURGE",35,1,1360,1,3,5,2,,,2,,,1,1
1,22,14,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,22,16,0,1,1,1,1,"OIGNON",33,1,1369,2,3,7,2,,,1,"MAIS",4,1,1
1,22,16,0,2,1,2,1,"PIMENT",24,1,219,2,3,7,2,,,1,"TOMATE",29,1,1
1,22,16,0,3,1,3,1,"COURGE",35,1,210,2,3,7,2,,,1,"MAIS",4,1,1
1,22,17,0,1,1,1,1,"OIGNON",33,1,9030,1,5,7,2,,,2,,,1,1
1,22,18,0,1,1,1,1,"OIGNON",33,1,1037,2,3,7,2,,,2,,,1,1
1,22,18,0,2,1,2,1,"POIVRON",17,1,5085,2,3,7,2,,,2,,,1,1
1,23,1,0,1,1,1,1,"OIGNON",33,1,743,2,3,7,2,,,2,,,1,1
1,23,1,0,2,1,2,1,"OIGNON",33,1,2694,2,3,7,2,,,2,,,1,1
1,23,1,0,3,1,3,1,"MAIS",4,1,15719,1,3,7,2,,,2,,,1,1
1,23,4,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,23,6,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,23,18,0,1,1,1,1,"OIGNON",33,1,0,2,2,8,2,,,1,"MAIS",4,1,1
