"PASSAGE","GRAPPE","MENAGE","EXTENSION","MS00Q01","MS00Q02","MS00Q03A","MS00Q03B","MS00Q04A","MS00Q04B","MS00Q05","MS00Q06","MS00Q07","MS00Q08","MS00Q09","MS00Q10","MS00Q11","MS00Q12","MS00Q14","MS00Q15","MS00Q16","MS00Q17","MS00Q22","MS00Q23","MS00Q24","MS00Q25","MS00Q26","MS00Q59","MS00Q60","MS00Q61"
1,10,13,0,10,3,17102014,1030,17102014,1400,1,1,17102014,10,17102014,1,11,1150,25,3,79,2,7,2,1,1,1,1,2,1
1,10,14,0,10,2,17102014,705,17102014,1020,1,1,18102014,10,18102014,1,11,1150,25,3,85,2,6,0,0,1,1,1,2,1
1,10,15,0,10,1,17102014,1042,17102014,1159,1,1,18102014,10,18102014,1,11,1150,25,3,88,2,8,2,2,1,1,1,2,1
1,10,16,0,10,2,17102014,1030,17102014,1245,1,1,18102014,10,18102014,1,11,1150,25,3,91,2,6,0,1,1,1,1,2,1
1,10,17,0,10,2,17102014,1420,17102014,1610,1,1,18102014,10,18102014,1,11,1150,25,3,150,2,4,1,0,1,1,1,2,1
1,10,18,0,10,1,17102014,1506,17102014,1616,1,1,18102014,10,18102014,1,11,1150,25,3,94,2,7,2,0,1,1,1,2,1
1,11,3,0,10,0,15102014,920,15102014,1105,1,1,15102014,10,15102014,1,11,1150,39,3,11,2,12,1,1,1,1,2,2,2
1,11,5,0,10,3,15102014,745,15102014,1008,1,1,15102014,10,15102014,1,11,1150,39,3,36,2,7,2,1,1,1,2,2,2
1,11,6,0,10,2,15102014,1007,15102014,1230,1,1,15102014,10,15102014,1,11,1150,39,3,37,2,6,1,0,1,1,2,2,2
1,11,7,0,10,1,15102014,928,15102014,1054,1,1,15102014,10,15102014,1,11,1150,39,3,40,2,3,0,0,1,1,2,2,2
1,11,8,0,10,1,15102014,736,15102014,908,1,1,15102014,10,15102014,1,11,1150,39,3,41,2,7,2,1,1,1,2,2,2
1,11,11,0,10,1,15102014,1406,15102014,1612,1,1,15102014,10,15102014,1,11,1150,39,3,59,2,7,1,1,1,1,2,2,2
1,11,13,0,10,2,15102014,730,15102014,1002,1,1,15102014,10,15102014,1,11,1150,39,3,103,2,7,1,0,1,1,2,2,2
1,12,1,0,1,2,3102014,1618,3102014,1913,1,1,4102014,1,4102014,1,11,1150,51,3,7,2,11,2,0,1,1,1,2,1
1,12,2,0,1,3,4102014,1335,4102014,1717,1,1,4102014,1,5102014,1,11,1150,51,3,23,2,13,2,2,1,1,1,2,1
1,12,3,0,1,2,4102014,1610,4102014,1820,1,1,4102014,1,4102014,1,11,1150,51,3,23,2,11,3,1,1,1,1,2,1
1,12,5,0,1,2,4102014,810,4102014,1140,1,1,4102014,1,4102014,1,11,1150,51,3,123,2,2,0,0,1,1,2,1,1
1,12,6,0,1,3,3102014,1551,3102014,1813,1,1,4102014,1,4102014,1,11,1150,51,3,136,2,9,2,1,1,1,2,2,2
1,12,7,0,1,3,4102014,802,4102014,1012,1,1,5102014,1,5102014,1,11,1150,51,3,51,2,12,1,2,1,1,1,1,1
1,12,8,0,1,1,4102014,1510,4102014,1820,1,1,5102014,1,5102014,1,11,1150,51,3,16,2,7,2,2,1,1,2,2,2
1,12,9,0,1,3,5102014,1331,5102014,1620,1,1,5102014,1,6102014,1,11,1150,51,3,237,2,10,1,2,1,1,1,2,1
1,12,10,0,1,1,5102014,1037,5102014,1207,1,1,5102014,1,5102014,1,11,1150,51,3,242,2,8,1,2,1,1,1,2,1
1,12,11,0,1,2,5102014,830,5102014,1110,1,1,5102014,1,5102014,1,11,1150,51,3,243,2,5,1,0,1,1,1,2,1
1,12,12,0,1,3,5102014,1040,5102014,1223,1,1,5102014,1,5102014,1,11,1150,51,3,244,2,8,1,3,1,1,1,1,1
1,12,13,0,1,2,4102014,1610,4102014,1800,1,1,4102014,1,4102014,1,11,1150,51,3,294,2,12,4,0,1,1,1,2,1
1,12,14,0,1,1,3102014,1550,3102014,1830,1,1,3102014,1,3102014,1,11,1150,51,3,336,2,13,5,2,1,1,1,1,1
1,12,15,0,1,3,5102014,1238,5102014,1412,1,1,5102014,1,5102014,1,11,1150,51,3,292,2,4,1,0,1,1,2,2,2
1,12,16,0,1,2,3102014,1430,4102014,649,1,1,4102014,1,4102014,1,11,1150,51,3,369,2,4,2,1,1,1,1,2,1
