"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02EQ01","AS02EQ03","AS02EQ0","AS02EQ04","AS02EQ05","CULTURE","AS02EQ06A","AS02EQ06B","AS02EQ07A","AS02EQ07B","AS02EQ07C","AS02EQ07D","AS02EQH","AS02EQ0A","AS02EQ07E","AS02EQ07F","AS02EQ08","AS02EQ09","AS02EQ10","AS02EQ0C"
2,95,16,0,2,1,6,1,"NIEBE",8,10,10,1,5,3,1,6,2,,,1,90,3,1
2,95,17,0,1,1,1,1,"MIL",1,10,11,75,5,210,1,1,1,,,1,60,3,1
2,95,17,0,1,1,2,1,"SORGHO",2,10,11,15,5,41,1,2,1,,,1,90,3,1
2,95,17,0,2,1,3,1,"MIL",1,10,11,20,5,54,1,3,2,,,1,95,3,1
2,95,17,0,2,1,4,1,"SORGHO",2,0,,,,,,4,2,0,1,1,100,3,1
2,95,17,0,2,2,5,1,"MANIOC",14,8,9,20,8,54,1,5,2,,,2,,,2
2,95,17,0,3,1,6,1,"MIL",1,10,11,50,5,140,1,6,3,,,1,90,3,1
2,95,17,0,3,1,7,1,"SORGHO",2,11,11,38,5,103,1,7,3,,,2,,,1
2,95,17,0,3,1,8,1,"VOANDZOU",9,0,,,,,,8,3,0,1,1,100,3,1
2,95,17,2,1,1,2,1,"SORGHO",2,10,10,10,5,27,1,2,1,,,1,50,3,1
2,95,17,2,1,1,1,1,"NIEBE",8,10,10,10,5,27,1,1,1,,,1,60,3,1
2,95,17,2,2,1,3,1,"MIL",1,10,10,75,5,210,1,3,2,,,1,50,3,1
2,95,17,2,2,1,4,1,"NIEBE",8,10,10,6,5,16,1,4,2,,,1,80,3,1
2,95,17,2,3,1,6,1,"MIL",1,10,10,5,5,70,1,6,3,,,1,75,3,1
2,95,17,2,3,1,5,1,"SORGHO",2,10,10,20,5,54,1,5,3,,,1,60,3,1
2,95,18,0,1,1,1,1,"MIL",1,10,10,25,5,70,1,1,1,,,1,50,3,1
2,95,18,0,1,1,2,1,"NIEBE",8,11,11,4,5,11,1,2,1,,,1,40,3,1
2,95,18,0,2,1,3,1,"MIL",1,10,10,15,5,42,1,3,2,,,1,50,3,1
2,95,18,0,2,1,4,1,"NIEBE",8,11,11,2,5,56,1,4,2,,,1,50,3,1
2,96,1,0,1,1,1,1,"MIL",1,10,11,30,4,486,1,1,1,,,2,,,1
2,96,1,0,1,1,2,1,"SORGHO",2,10,11,7,4,95,1,2,1,,,2,,,1
2,96,1,0,1,1,3,1,"NIEBE",8,10,11,10,5,29,1,3,1,,,2,,,1
2,96,1,0,2,1,4,1,"SORGHO",2,10,11,5,4,69,1,4,2,,,2,,,1
2,96,1,0,2,1,5,1,"SESAME",13,10,11,0,,,1,5,2,,,1,100,8,1
2,96,2,0,1,1,1,1,"MIL",1,10,10,25,4,338,1,1,1,,,2,,,1
2,96,2,0,1,1,2,1,"SORGHO",2,10,11,7,4,95,1,2,1,,,2,,,1
2,96,2,0,1,1,3,1,"NIEBE",8,10,10,3,4,2,1,3,1,,,2,,,1
2,96,2,0,2,1,4,1,"MIL",1,10,10,3,4,41,1,4,2,,,1,50,8,1
2,96,2,0,2,1,5,1,"SORGHO",2,10,10,3,4,13,1,5,2,,,1,85,8,1
2,96,3,0,1,1,1,1,"MIL",1,10,11,80,4,864,1,1,1,,,2,,,1
2,96,3,0,1,1,4,1,"SORGHO",2,10,11,10,4,108,1,4,1,,,2,,,1
2,96,3,0,1,1,3,1,"NIEBE",8,10,11,10,4,108,1,3,1,,,2,,,1
2,96,3,0,2,1,5,1,"MIL",1,10,11,10,4,27,1,5,2,,,2,,,1
2,96,4,0,1,1,2,1,"MIL",1,10,10,40,4,432,1,2,1,,,2,,,1
2,96,4,0,1,1,1,1,"SORGHO",2,10,10,20,4,216,1,1,1,,,2,,,1
2,96,4,0,1,1,3,1,"NIEBE",8,10,10,40,5,108,1,3,1,,,2,,,1
2,96,4,0,2,1,4,1,"MIL",1,10,10,50,4,120,1,4,2,,,2,,,1
2,96,4,0,2,1,5,1,"SORGHO",2,10,10,10,4,162,1,5,2,,,2,,,1
2,96,4,0,3,1,6,1,"MIL",1,10,10,15,4,108,1,6,3,,,2,,,1
2,96,4,0,3,1,7,1,"SORGHO",2,10,10,10,4,108,1,7,3,,,2,,,1
2,96,4,0,4,1,8,1,"MIL",1,10,10,15,4,108,1,8,4,,,2,,,1
2,96,4,0,4,1,9,1,"SORGHO",2,10,10,15,4,162,1,9,4,,,2,,,1
2,96,4,0,4,1,10,1,"NIEBE",8,10,10,20,5,216,1,10,4,,,2,,,1
2,96,4,0,5,1,11,1,"MIL",1,10,10,20,4,216,1,11,5,,,2,,,1
2,96,4,0,5,1,12,1,"SORGHO",2,10,10,20,4,216,1,12,5,,,2,,,1
2,96,4,0,5,1,13,1,"NIEBE",8,10,10,40,5,108,1,13,5,,,2,,,1
2,96,5,0,1,1,1,1,"MIL",1,10,10,20,4,270,1,1,1,,,2,,,1
2,96,5,0,1,1,2,1,"SORGHO",2,10,10,11,9,54,1,2,1,,,2,,,1
2,96,5,0,1,1,3,1,"NIEBE",8,10,12,2,9,24,1,3,1,,,2,,,1
2,96,5,0,1,1,4,1,"SESAME",13,10,12,10,5,14,1,4,1,,,2,,,1
2,96,5,0,2,1,5,1,"MIL",1,10,10,15,4,202,1,5,2,,,1,100,8,1
2,96,5,0,2,1,6,1,"SORGHO",2,10,10,12,9,22,1,6,2,,,2,,,1
2,96,5,0,2,1,7,1,"NIEBE",8,10,12,0,,,1,7,2,,,2,,,1
2,96,5,0,3,1,9,1,"MIL",1,1,10,3,4,21,1,9,3,,,1,100,8,1
2,96,5,0,3,1,8,1,"SORGHO",2,10,10,3,4,40,1,8,3,,,1,100,8,1
2,96,5,0,3,1,10,1,"NIEBE",8,10,12,0,,,1,10,3,,,2,,,1
2,96,6,0,1,1,1,1,"MIL",1,9,12,60,4,1620,1,1,1,,,2,,,1
2,96,6,0,1,1,2,1,"SORGHO",2,9,12,40,4,87,1,2,1,,,2,,,1
2,96,6,0,1,1,3,1,"NIEBE",8,9,12,30,6,42,1,3,1,,,2,,,1
2,96,6,0,1,1,4,1,"SESAME",13,9,12,10,5,270,1,4,1,,,2,,,1
2,96,6,0,2,1,5,1,"MIL",1,9,12,10,4,864,1,5,2,,,2,,,1
2,96,6,0,2,1,6,1,"SORGHO",2,12,10,5,5,14,1,6,2,,,2,,,1
